iter	Passed	Remaining
0	143	143537
1	146	73188
2	151	50457
3	155	38669
4	158	31539
5	161	26755
6	164	23335
7	169	20987
8	171	18850
9	173	17130
10	174	15723
11	176	14550
12	178	13557
13	180	12734
14	182	11997
15	186	11496
16	188	10917
17	190	10400
18	192	9936
19	194	9509
20	195	9102
21	196	8730
22	197	8391
23	198	8079
24	199	7793
25	202	7598
26	204	7355
27	205	7124
28	206	6909
29	207	6716
30	208	6529
31	210	6353
32	211	6187
33	212	6032
34	213	5885
35	214	5746
36	215	5614
37	216	5489
38	217	5370
39	221	5314
40	222	5202
41	223	5095
42	224	4991
43	225	4892
44	226	4798
45	226	4707
46	227	4620
47	228	4538
48	229	4462
49	230	4387
50	231	4315
51	232	4244
52	233	4176
53	234	4112
54	235	4049
55	238	4021
56	239	3962
57	240	3904
58	241	3848
59	242	3794
60	243	3741
61	243	3690
62	244	3640
63	245	3593
64	246	3546
65	247	3501
66	248	3458
67	249	3416
68	250	3375
69	251	3335
70	251	3296
71	252	3258
72	253	3221
73	255	3202
74	256	3168
75	257	3134
76	258	3100
77	259	3068
78	260	3036
79	261	3004
80	262	2974
81	263	2946
82	263	2913
83	264	2885
84	265	2857
85	266	2830
86	267	2804
87	268	2778
88	269	2753
89	269	2728
90	270	2704
91	271	2680
92	275	2682
93	275	2659
94	276	2637
95	277	2615
96	278	2593
97	279	2572
98	280	2551
99	281	2531
100	282	2511
101	283	2491
102	283	2472
103	284	2453
104	285	2435
105	286	2416
106	287	2398
107	288	2381
108	289	2364
109	290	2347
110	293	2348
111	294	2333
112	295	2318
113	296	2303
114	297	2289
115	298	2274
116	299	2257
117	300	2242
118	300	2227
119	301	2213
120	302	2198
121	303	2183
122	304	2169
123	305	2155
124	306	2142
125	306	2128
126	307	2114
127	310	2113
128	311	2104
129	312	2091
130	313	2078
131	314	2066
132	315	2054
133	316	2042
134	316	2030
135	317	2018
136	318	2007
137	319	1995
138	320	1984
139	321	1973
140	322	1962
141	322	1950
142	323	1939
143	324	1928
144	325	1920
145	329	1924
146	330	1916
147	331	1906
148	332	1897
149	333	1887
150	334	1878
151	335	1869
152	336	1860
153	336	1851
154	337	1841
155	338	1832
156	339	1824
157	340	1815
158	341	1806
159	342	1798
160	343	1787
161	343	1779
162	345	1776
163	347	1769
164	347	1761
165	348	1752
166	349	1744
167	350	1736
168	351	1728
169	352	1720
170	353	1713
171	354	1706
172	355	1698
173	356	1691
174	357	1683
175	357	1676
176	358	1668
177	359	1661
178	360	1653
179	361	1646
180	362	1639
181	365	1642
182	366	1635
183	367	1628
184	368	1621
185	369	1614
186	369	1608
187	370	1601
188	371	1594
189	372	1588
190	373	1581
191	374	1575
192	375	1568
193	375	1562
194	376	1555
195	377	1549
196	378	1543
197	379	1537
198	380	1530
199	383	1532
200	384	1527
201	385	1521
202	385	1515
203	386	1509
204	387	1503
205	388	1497
206	389	1492
207	390	1486
208	391	1480
209	392	1475
210	392	1469
211	393	1463
212	394	1458
213	395	1453
214	396	1447
215	397	1442
216	398	1437
217	401	1439
218	402	1434
219	403	1429
220	404	1424
221	404	1419
222	405	1413
223	406	1408
224	407	1403
225	408	1398
226	409	1393
227	410	1389
228	411	1385
229	412	1380
230	413	1375
231	414	1370
232	414	1365
233	415	1361
234	416	1356
235	419	1358
236	420	1353
237	421	1349
238	422	1344
239	423	1339
240	423	1335
241	424	1330
242	425	1326
243	426	1321
244	427	1317
245	428	1312
246	429	1308
247	430	1304
248	430	1299
249	431	1295
250	432	1291
251	433	1286
252	434	1282
253	435	1279
254	437	1277
255	438	1273
256	439	1269
257	439	1265
258	440	1261
259	441	1257
260	442	1253
261	443	1249
262	444	1245
263	445	1241
264	446	1237
265	446	1233
266	447	1229
267	448	1225
268	449	1221
269	450	1217
270	451	1214
271	452	1210
272	455	1212
273	456	1208
274	457	1205
275	458	1201
276	458	1197
277	459	1194
278	460	1190
279	461	1186
280	462	1183
281	463	1179
282	464	1176
283	464	1172
284	465	1168
285	466	1165
286	467	1162
287	468	1158
288	469	1155
289	470	1151
290	473	1153
291	474	1150
292	475	1147
293	476	1143
294	477	1140
295	478	1137
296	478	1133
297	479	1130
298	480	1127
299	481	1124
300	482	1120
301	483	1117
302	484	1114
303	485	1111
304	486	1107
305	487	1104
306	487	1101
307	488	1098
308	491	1100
309	492	1097
310	493	1093
311	494	1091
312	495	1088
313	496	1084
314	497	1081
315	498	1078
316	499	1075
317	500	1072
318	501	1069
319	501	1066
320	502	1063
321	503	1060
322	504	1057
323	505	1054
324	506	1051
325	508	1050
326	509	1048
327	510	1045
328	511	1042
329	512	1039
330	512	1036
331	513	1033
332	514	1030
333	515	1028
334	516	1025
335	517	1022
336	518	1019
337	519	1016
338	519	1013
339	520	1010
340	521	1008
341	522	1005
342	523	1003
343	526	1004
344	527	1002
345	529	1001
346	531	1000
347	533	1000
348	534	997
349	536	996
350	537	993
351	538	991
352	539	989
353	540	986
354	541	984
355	545	986
356	546	984
357	547	981
358	548	979
359	549	977
360	550	974
361	552	973
362	553	971
363	554	969
364	555	966
365	556	964
366	557	962
367	558	959
368	559	957
369	562	957
370	563	956
371	565	953
372	566	951
373	567	949
374	568	947
375	569	944
376	570	942
377	571	940
378	572	937
379	573	935
380	574	932
381	578	935
382	582	938
383	583	936
384	585	934
385	586	932
386	587	930
387	588	928
388	589	926
389	591	924
390	592	922
391	594	921
392	595	919
393	596	916
394	598	916
395	599	915
396	603	916
397	604	913
398	605	911
399	606	909
400	606	906
401	607	904
402	608	901
403	609	899
404	610	896
405	611	894
406	612	892
407	613	889
408	614	887
409	618	890
410	619	888
411	620	885
412	621	883
413	622	881
414	623	878
415	624	876
416	625	873
417	625	871
418	626	869
419	627	866
420	628	864
421	629	862
422	630	859
423	631	857
424	632	855
425	633	853
426	635	852
427	636	850
428	636	847
429	637	845
430	638	843
431	639	840
432	640	838
433	641	836
434	642	834
435	643	832
436	644	830
437	645	827
438	646	825
439	646	823
440	647	821
441	648	818
442	649	816
443	651	815
444	652	813
445	653	811
446	654	809
447	655	807
448	656	805
449	657	803
450	658	801
451	658	798
452	659	796
453	660	794
454	661	792
455	662	790
456	663	788
457	664	785
458	664	783
459	668	784
460	670	783
461	671	781
462	672	779
463	672	777
464	673	775
465	674	773
466	675	771
467	676	768
468	677	766
469	678	764
470	679	762
471	679	760
472	680	758
473	681	756
474	682	754
475	683	752
476	687	753
477	688	751
478	689	750
479	690	748
480	691	746
481	692	744
482	693	742
483	694	740
484	696	739
485	697	737
486	697	735
487	698	733
488	699	731
489	700	729
490	701	727
491	704	727
492	705	726
493	706	724
494	708	722
495	709	720
496	710	719
497	711	717
498	713	716
499	714	714
500	715	712
501	715	710
502	716	708
503	717	706
504	718	704
505	719	702
506	723	703
507	724	701
508	725	700
509	726	698
510	727	696
511	728	694
512	729	692
513	730	690
514	730	688
515	731	686
516	732	684
517	733	682
